time,position,velocity,energy
259.5,30.8264,94.4891,4939.23
260,72.1777,68.6034,4958.02
260.5,95.8574,25.9212,4930.28
261,96.0679,-23.1074,4881.49
261.5,72.7576,-66.4785,4856.53
262,31.6337,-93.5734,4878.33
262.5,-17.2352,-97.7582,4926.86
263,-61.8844,-78.0084,4957.49
263.5,-91.382,-39.1595,4942.07
264,-98.5062,9.27711,4894.77
264.5,-81.5126,55.4423,4859.08
265,-44.5619,88.0333,4867.82
265.5,3.29911,99.0707,4912.94
266,50.3524,85.8521,4952.97
266.5,85.0777,51.6139,4951.1
267,98.973,4.73885,4909.05
267.5,88.6362,-43.2964,4865.48
268,56.5982,-80.7313,4860.45
268.5,10.703,-98.4003,4898.58
269,-37.8126,-91.9774,4944.82
269.5,-77.0705,-63.0353,4956.66
270,-97.4588,-18.66,4923.2
270.5,-93.9857,30.284,4875.22
271,-67.5017,71.8134,4856.82
271.5,-24.4909,95.7604,4884.93
272,24.5161,96.2618,4933.69
272.5,67.5207,73.1951,4958.28
273,93.9939,32.2076,4936.09
273.5,97.4541,-16.6654,4887.52
274,77.0542,-61.4582,4857.23
274.5,37.7887,-91.2038,4873.06
275,-10.7288,-98.6196,4920.46
275.5,-56.6195,-81.8898,4955.86
276,-88.6478,-45.1106,4946.7
276.5,-98.972,2.71326,4901.41
277,-85.0644,49.8728,4861.63
277.5,-50.3301,84.8218,4863.93
278,-3.2732,99.0034,4906.2
278.5,44.5851,88.9456,4949.57
279,81.5274,57.1107,4954.17
279.5,98.5089,11.2932,4915.77
280,91.372,-37.2893,4869.67
280.5,61.8641,-76.7421,4858.26
281,17.2097,-97.4057,4892.03
281.5,-31.6583,-94.2211,4939.93
282,-72.7752,-67.9678,4957.92
282.5,-96.0742,-25.0736,4929.47
283,-95.8509,23.9594,4880.72
283.5,-72.1599,67.1264,4856.5
284,-30.8017,93.8585,4879.08
284.5,18.0978,97.6107,4927.69
285,62.5664,77.4644,4957.65
285.5,91.7165,38.3522,4941.41
286,98.4113,-10.15,4893.9
286.5,81.0115,-56.1672,4858.8
287,43.7773,-88.4326,4868.39
287.5,-4.17515,-99.0467,4913.84
288,-51.1053,-85.4107,4953.37
288.5,-85.5232,-50.8631,4950.63
289,-99.0019,-3.86254,4908.15
289.5,-88.2416,44.0837,4864.98
290,-55.8766,81.2368,4860.8
290.5,-9.83109,98.5002,4899.47
291,38.6214,91.6474,4945.43
291.5,77.6181,62.3561,4956.42
